filter,dist,n,target_fpr,neg_share,workload,threads,load_factor,fp_bits,ops,warmup_ops,rep,run,achieved_fpr,bpe,ops_per_s,p50,p95,p99,p50_ns,p95_ns,p99_ns,fail_rate,avg_kicks,stash_hits,avg_probe,cluster_mean,cluster_p99
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,7.34e-05,26.8435,7849397.0,62ns,285ns,322ns,62.0,285.0,322.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,7.34e-05,26.8435,7878364.0,76ns,285ns,315ns,76.0,285.0,315.0,0.0,0.0,0.0,,,
quotient,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0023808,41.943,9290802.0,124ns,192ns,302ns,124.0,192.0,302.0,,,,0.0,0.0,0.0
quotient,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0023808,41.943,9303052.0,121ns,191ns,290ns,121.0,191.0,290.0,,,,0.0,0.0,0.0
quotient,uniform,5000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0023808,41.943,9266108.0,121ns,197ns,315ns,121.0,197.0,315.0,,,,0.0,0.0,0.0
bloom,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0226666,26.8435,10106190.0,47ns,158ns,267ns,47.0,158.0,267.0,,,,,,
bloom,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0226666,26.8435,10120210.0,50ns,157ns,263ns,50.0,157.0,263.0,,,,,,
bloom,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0226666,26.8435,10129850.0,47ns,158ns,287ns,47.0,158.0,287.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003616,26.8435,13953660.0,133ns,151ns,310ns,133.0,151.0,310.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003616,26.8435,13989530.0,134ns,153ns,304ns,134.0,153.0,304.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003616,26.8435,14010300.0,133ns,151ns,308ns,133.0,151.0,308.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000228,26.8435,13904380.0,134ns,154ns,307ns,134.0,154.0,307.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000228,26.8435,13966460.0,133ns,155ns,306ns,133.0,155.0,306.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000228,26.8435,13929120.0,133ns,153ns,316ns,133.0,153.0,316.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.42e-05,26.8435,13918460.0,134ns,152ns,301ns,134.0,152.0,301.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.42e-05,26.8435,13923350.0,133ns,153ns,307ns,133.0,153.0,307.0,,,,,,
xor,uniform,5000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.42e-05,26.8435,13941450.0,134ns,156ns,308ns,134.0,156.0,308.0,,,,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0184116,26.8435,8140757.0,65ns,278ns,312ns,65.0,278.0,312.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0184116,26.8435,7823522.0,59ns,283ns,314ns,59.0,283.0,314.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0184116,26.8435,7905214.0,76ns,285ns,320ns,76.0,285.0,320.0,0.0,0.0,0.0,,,
